num_regions: 500
region133: [[-3.55, 0.7, -0.75], [-3.95, 0.7, -0.75], [-3.95, 0.3, -0.75], [-3.55, 0.3, -0.75]]
region134: [[-3.95, 0.7, -0.75], [-4.35, 0.7, -0.75], [-4.35, 0.3, -0.75], [-3.95, 0.3, -0.75]]
region135: [[-4.35, 0.7, -0.75], [-4.75, 0.7, -0.75], [-4.75, 0.3, -0.75], [-4.35, 0.3, -0.75]]
region136: [[-4.75, 0.7, -0.75], [-5.15, 0.7, -0.75], [-5.15, 0.3, -0.75], [-4.75, 0.3, -0.75]]
region137: [[-5.15, 0.7, -0.75], [-5.55, 0.7, -0.75], [-5.55, 0.3, -0.75], [-5.15, 0.3, -0.75]]
region138: [[-5.55, 0.7, -0.75], [-5.95, 0.7, -0.75], [-5.95, 0.3, -0.75], [-5.55, 0.3, -0.75]]
region139: [[-5.95, 0.7, -0.75], [-6.35, 0.7, -0.75], [-6.35, 0.3, -0.75], [-5.95, 0.3, -0.75]]
region140: [[1.65, 1.1, -0.75], [1.25, 1.1, -0.75], [1.25, 0.7, -0.75], [1.65, 0.7, -0.75]]
region141: [[1.25, 1.1, -0.75], [0.85, 1.1, -0.75], [0.85, 0.7, -0.75], [1.25, 0.7, -0.75]]
region142: [[0.85, 1.1, -0.75], [0.45, 1.1, -0.75], [0.45, 0.7, -0.75], [0.85, 0.7, -0.75]]
region143: [[0.45, 1.1, -0.75], [0.05, 1.1, -0.75], [0.05, 0.7, -0.75], [0.45, 0.7, -0.75]]
region144: [[0.05, 1.1, -0.75], [-0.35, 1.1, -0.75], [-0.35, 0.7, -0.75], [0.05, 0.7, -0.75]]
region145: [[-0.35, 1.1, -0.75], [-0.75, 1.1, -0.75], [-0.75, 0.7, -0.75], [-0.35, 0.7, -0.75]]
region146: [[-0.75, 1.1, -0.75], [-1.15, 1.1, -0.75], [-1.15, 0.7, -0.75], [-0.75, 0.7, -0.75]]
region147: [[-1.15, 1.1, -0.75], [-1.55, 1.1, -0.75], [-1.55, 0.7, -0.75], [-1.15, 0.7, -0.75]]
region148: [[-1.55, 1.1, -0.75], [-1.95, 1.1, -0.75], [-1.95, 0.7, -0.75], [-1.55, 0.7, -0.75]]
region149: [[-1.95, 1.1, -0.75], [-2.35, 1.1, -0.75], [-2.35, 0.7, -0.75], [-1.95, 0.7, -0.75]]
region150: [[-2.35, 1.1, -0.75], [-2.75, 1.1, -0.75], [-2.75, 0.7, -0.75], [-2.35, 0.7, -0.75]]
region151: [[-2.75, 1.1, -0.75], [-3.15, 1.1, -0.75], [-3.15, 0.7, -0.75], [-2.75, 0.7, -0.75]]
region152: [[-3.15, 1.1, -0.75], [-3.55, 1.1, -0.75], [-3.55, 0.7, -0.75], [-3.15, 0.7, -0.75]]
region153: [[-3.55, 1.1, -0.75], [-3.95, 1.1, -0.75], [-3.95, 0.7, -0.75], [-3.55, 0.7, -0.75]]
region154: [[-3.95, 1.1, -0.75], [-4.35, 1.1, -0.75], [-4.35, 0.7, -0.75], [-3.95, 0.7, -0.75]]
region155: [[-4.35, 1.1, -0.75], [-4.75, 1.1, -0.75], [-4.75, 0.7, -0.75], [-4.35, 0.7, -0.75]]
region156: [[-4.75, 1.1, -0.75], [-5.15, 1.1, -0.75], [-5.15, 0.7, -0.75], [-4.75, 0.7, -0.75]]
region157: [[-5.15, 1.1, -0.75], [-5.55, 1.1, -0.75], [-5.55, 0.7, -0.75], [-5.15, 0.7, -0.75]]
region158: [[-5.55, 1.1, -0.75], [-5.95, 1.1, -0.75], [-5.95, 0.7, -0.75], [-5.55, 0.7, -0.75]]
region159: [[-5.95, 1.1, -0.75], [-6.35, 1.1, -0.75], [-6.35, 0.7, -0.75], [-5.95, 0.7, -0.75]]
region160: [[1.65, 1.5, -0.75], [1.25, 1.5, -0.75], [1.25, 1.1, -0.75], [1.65, 1.1, -0.75]]
region161: [[1.25, 1.5, -0.75], [0.85, 1.5, -0.75], [0.85, 1.1, -0.75], [1.25, 1.1, -0.75]]
region162: [[0.85, 1.5, -0.75], [0.45, 1.5, -0.75], [0.45, 1.1, -0.75], [0.85, 1.1, -0.75]]
region163: [[0.45, 1.5, -0.75], [0.05, 1.5, -0.75], [0.05, 1.1, -0.75], [0.45, 1.1, -0.75]]
region164: [[0.05, 1.5, -0.75], [-0.35, 1.5, -0.75], [-0.35, 1.1, -0.75], [0.05, 1.1, -0.75]]
region165: [[-0.35, 1.5, -0.75], [-0.75, 1.5, -0.75], [-0.75, 1.1, -0.75], [-0.35, 1.1, -0.75]]
region166: [[-0.75, 1.5, -0.75], [-1.15, 1.5, -0.75], [-1.15, 1.1, -0.75], [-0.75, 1.1, -0.75]]
region167: [[-1.15, 1.5, -0.75], [-1.55, 1.5, -0.75], [-1.55, 1.1, -0.75], [-1.15, 1.1, -0.75]]
region168: [[-1.55, 1.5, -0.75], [-1.95, 1.5, -0.75], [-1.95, 1.1, -0.75], [-1.55, 1.1, -0.75]]
region169: [[-1.95, 1.5, -0.75], [-2.35, 1.5, -0.75], [-2.35, 1.1, -0.75], [-1.95, 1.1, -0.75]]
region170: [[-2.35, 1.5, -0.75], [-2.75, 1.5, -0.75], [-2.75, 1.1, -0.75], [-2.35, 1.1, -0.75]]
region171: [[-2.75, 1.5, -0.75], [-3.15, 1.5, -0.75], [-3.15, 1.1, -0.75], [-2.75, 1.1, -0.75]]
region172: [[-3.15, 1.5, -0.75], [-3.55, 1.5, -0.75], [-3.55, 1.1, -0.75], [-3.15, 1.1, -0.75]]
region173: [[-3.55, 1.5, -0.75], [-3.95, 1.5, -0.75], [-3.95, 1.1, -0.75], [-3.55, 1.1, -0.75]]
region174: [[-3.95, 1.5, -0.75], [-4.35, 1.5, -0.75], [-4.35, 1.1, -0.75], [-3.95, 1.1, -0.75]]
region175: [[-4.35, 1.5, -0.75], [-4.75, 1.5, -0.75], [-4.75, 1.1, -0.75], [-4.35, 1.1, -0.75]]
region176: [[-4.75, 1.5, -0.75], [-5.15, 1.5, -0.75], [-5.15, 1.1, -0.75], [-4.75, 1.1, -0.75]]
region177: [[-5.15, 1.5, -0.75], [-5.55, 1.5, -0.75], [-5.55, 1.1, -0.75], [-5.15, 1.1, -0.75]]
